id;Наименование прокуратуры (SV-0001);REGION;Телефон канцелярии (SV-0004);Электронный адрес канцелярии(SV-0005);Адрес приемной(SV-0006);OKATO;CODE;autokey
66;Прокуратура Угловского района Алтайского края;Алтайский край;8 (38579) 22976;uglovskiy@22.mailop.ru;658270, Алтайский край, Угловский р-н, с.Угловское, ул. Ленина, 27;1;382812005;FED_GENPROK_ORGANIZATION_66
22;Прокуратура Егорьевского района Алтайского края;Алтайский край;8 (38560) 22276;egorevka@22.mailop.ru;658280, Алтайский край, Егорьевский р-н, с.Новоегорьевское, ул. Октябрьская, 1;1;382735126;FED_GENPROK_ORGANIZATION_22
37;Прокуратура Курьинского района Алтайского края;Алтайский край;8 (38576) 22376;kurya@22.mailop.ru;658320, Алтайский край, Курьинский р-н, с.Курья, ул. Центральная, 71;1;382748198;FED_GENPROK_ORGANIZATION_37
34;Прокуратура Краснощековского района Алтайского края;Алтайский край;8 (38575) 22376;krasnoshekovskiy@22.mailop.ru;658340, Алтайский край, Краснощековский р-н, с.Краснощеково, ул. Ленина, 130;1;382740140;FED_GENPROK_ORGANIZATION_34
74;Прокуратура Шипуновского района Алтайского края;Алтайский край;8 (38550) 22376;shipunovo@22.mailop.ru;658390, Алтайский край, Шипуновский р-н, с.Шипуново, пр-кт Комсомольский, 83;1;382816816;FED_GENPROK_ORGANIZATION_74
40;Прокуратура Локтевского района Алтайского края;Алтайский край;8 (38586) 31164;lokot@22.mailop.ru;658422, Алтайский край, г.Горняк, ул. Некрасова, 29;1;382748445;FED_GENPROK_ORGANIZATION_40
63;Прокуратура Третьяковского района Алтайского края;Алтайский край;8 (38559) 21576;tretyaki@22.mailop.ru;658450, Алтайский край, Третьяковский р-н, с.Староалейское, ул. Кирова, 52;1;382809831;FED_GENPROK_ORGANIZATION_63
7;Змеиногорская межрайонная прокуратура Алтайского края;Алтайский край;8 (38587) 21127;zmeinogorsk@22.mailop.ru;658480, Алтайский край, г.Змеиногорск, ул. Шумакова, 12;1;382730390;FED_GENPROK_ORGANIZATION_7
11;Прокуратура Баевского района Алтайского края;Алтайский край;8 (38585) 22276;baevo@22.mailop.ru;658510, Алтайский край, Баевский р-н, с. Баево, ул. Кулундинская, За;1;382731617;FED_GENPROK_ORGANIZATION_11
51;Прокуратура Ребрихинского района Алтайского края;Алтайский край;8 (38582) 22376;rebriha@22.mailop.ru;658540, Алтайский край, Ребрихинский р-н, с.Ребриха, Проспект Победы, 25;1;382751846;FED_GENPROK_ORGANIZATION_51
41;Прокуратура Мамонтовского района Алтайского края;Алтайский край;8(38583) 22376;mamontovo@22.mailop.ru;658560, Алтайский край, Мамонтовский р-н, с.Мамонтово, ул. Кашировская, 20;1;382748487;FED_GENPROK_ORGANIZATION_41
65;Прокуратура Тюменцевского района Алтайского края;Алтайский край;8 (38588) 22376;tumenchevo@22.mailop.ru;658580, Алтайский край, Тюменцевский р-н, с.Тюменцево, ул. Ленина, 4;1;382809914;FED_GENPROK_ORGANIZATION_65
25;Прокуратура Завьяловского района Алтайского края;Алтайский край;8 (38562) 22376;zavyalovo@22.mailop.ru;658620, Алтайский край, Завьяловский р-н, с.Завьялово, ул. Коммунаров, 21;1;382736842;FED_GENPROK_ORGANIZATION_25
53;Прокуратура Романовского района Алтайского края;Алтайский край;8 (38561) 22276;romanovo@22.mailop.ru;658640, Алтайский край, романовский р-н, с.Романово, ул. Октябрьская, 3;1;382808407;FED_GENPROK_ORGANIZATION_53
6;Благовещенская межрайонная прокуратура Алтайского края;Алтайский край;8 (38564) 21774;blagoveshenka@22.mailop.ru;658670, Алтайский край, Благовещенский р-н, р.п. Благовещенка, ул. Пушкина, 87;1;382730200;FED_GENPROK_ORGANIZATION_6
8;Каменская межрайонная прокуратура Алтайского края;Алтайский край;8 (38584) 22276;kamen@22.mailop.ru;658700, Алтайский край, Камень-на-Оби , Ленина, 50 ;1;382730566;FED_GENPROK_ORGANIZATION_8
35;Прокуратура Крутихинского района Алтайского края;Алтайский край;8 (38589) 22376;krutiha@22.mailop.ru;658750, Алтайский край, Крутихинский р-н, с.Крутиха, пер. Школьный, 2;1;382740281;FED_GENPROK_ORGANIZATION_35
47;Прокуратура Панкрушихинского района Алтайского края;Алтайский край;8 (38580)22576;pankrushiha@22.mailop.ru;658760, Алтайский край, Панкрушихинский р-н, с.Панкрушиха, ул. Зелёная, 16;1;382751543;FED_GENPROK_ORGANIZATION_47
69;Прокуратура Хабарского района Алтайского края;Алтайский край;8 (38569) 22376;habari@22.mailop.ru;658780, Алтайский край, Хабарский р-н, с.Хабары, ул. Ленина, 40;1;382814024;FED_GENPROK_ORGANIZATION_69
13;Прокуратура Бурлинского района Алтайского края;Алтайский край;8 (38572) 22335;burla@22.mailop.ru;658810, Алтайский край, Бурлинский р-н, с.Бурла, ул. Почтовая, 10;1;382732078;FED_GENPROK_ORGANIZATION_13
77;Славгородская межрайонная прокуратура Алтайского края;Алтайский край;8 (38568) 52512;slavgorod@22.mailop.ru;658820, Алтайский край, г.Славгород, ул. Володарского, 145;1;382817506;FED_GENPROK_ORGANIZATION_77
59;Прокуратура Табунского района Алтайского края;Алтайский край;8 (38567) 22376;tabuni@22.mailop.ru;658860, Алтайский край, Табунский р-н, с.Табуны, ул. Советская, 8;1;382809095;FED_GENPROK_ORGANIZATION_59
43;Прокуратура Немецкого национального района Алтайского края;Алтайский край;8 (38539) 22151;nemeckiy@22.mailop.ru;658870, Алтайский край, Немецкий национальный район, с.Гальбштадт, ул. Тракторная, 8;1;382750179;FED_GENPROK_ORGANIZATION_43
36;Прокуратура Кулундинского района Алтайского края;Алтайский край;8 (38566) 22376;kulunda@22.mailop.ru;658920, Алтайский край, Кулундинский р-н, с.Кулунда, ул. Гагарина, 4б;1;382748164;FED_GENPROK_ORGANIZATION_36
15;Прокуратура Волчихинского района Алтайского края;Алтайский край;8 (38565) 21376;volchiha@22.mailop.ru;658930, Алтайский край, Волчихинский р-н, с.Волчиха, ул. Кирова, 83;1;382732445;FED_GENPROK_ORGANIZATION_15
42;Прокуратура Михайловского района Алтайского края;Алтайский край;8 (38570) 22180;mihailovka@22.mailop.ru;658960, Алтайский край, Михайловский р-н, с.Михайловское, пр. Октябрьский, 9;1;382748669;FED_GENPROK_ORGANIZATION_42
31;Прокуратура Ключевского района Алтайского края;Алтайский край;8 (38578) 22568;kluchi@22.mailop.ru;658980, Алтайский край, Ключевский р-н, с.Ключи, ул. Центральная, 45;1;382738393;FED_GENPROK_ORGANIZATION_31
46;Прокуратура Павловского района Алтайского края;Алтайский край;8 (38581) 22376;pavlovsk@22.mailop.ru;659000, Алтайский край, Павловский р-н, с.Павловск, ул. Коминтерна, 1;1;382751210;FED_GENPROK_ORGANIZATION_46
30;Прокуратура Калманского района Алтайского края;Алтайский край;8 (38551) 22-3-76;kalmanka@22.mailop.ru;659040, Алтайский край, Калманский р-н, с.Калманка, ул. Октябрьская, 1а;1;382738268;FED_GENPROK_ORGANIZATION_30
73;Прокуратура Шелаболихинского района Алтайского края;Алтайский край;8 (38558) 22376;shelaboliha@22.mailop.ru;659050, Алтайский край, Шелаболихинский р-н, с.Шелаболиха, ул. Новая, 3;1;382816330;FED_GENPROK_ORGANIZATION_73
62;Прокуратура Топчихинского района Алтайского края;Алтайский край;8 (38552) 21513;topchiha@22.mailop.ru;659070, Алтайский край, Топчихинский р-н, с.Топчиха, пер. Мельничный, 3;1;382809794;FED_GENPROK_ORGANIZATION_62
19;Прокуратура г. Заринска Алтайского края;Алтайский край;8 (38595) 40638;zarinsk@22.mailop.ru;659100, Алтайский край, г.Заринск, пр-кт Строителей, 30;1;382733824;FED_GENPROK_ORGANIZATION_19
27;Прокуратура Заринского района Алтайского края;Алтайский край;8 (838595) 22376;zarsel@22.mailop.ru;659106, Алтайский край, г.Заринск, ул. Комсомольская, 8;1;382737140;FED_GENPROK_ORGANIZATION_27
26;Прокуратура Залесовского района Алтайского края;Алтайский край;8 (38592) 22376;zalesovo@22.mailop.ru;659220, Алтайский край, Залесовский р-н, с.Залесово, ул. Комсомольская, 6;1;382737026;FED_GENPROK_ORGANIZATION_26
38;Прокуратура Кытмановского района Алтайского края;Алтайский край;8 (38590) 22799;kitmanovo@22.mailop.ru;659240, Алтайский край, Кытмановский р-н, с.Кытманово, ул. Пролетарская, 32;1;382748379;FED_GENPROK_ORGANIZATION_38
12;Прокуратура Бийского района Алтайского края;Алтайский край;8 (3854) 326787;biyskray@22.mailop.ru;659300, Алтайский край, г.Бийск, ул. Советская, 56;1;382731844;FED_GENPROK_ORGANIZATION_12
18;Прокуратура г. Бийска Алтайского края;Алтайский край;8 (3854) 336150;biysk@22.mailop.ru;659325, Алтайский край, г.Бийск, ул. Советская, 4;1;382733120;FED_GENPROK_ORGANIZATION_18
28;Прокуратура Зонального района Алтайского края;Алтайский край;8 (38530) 22455;zonalnoe@22.mailop.ru;659400, Алтайский край, Зональный р-н, с.Зональное, ул. Ленина, 30;1;382737491;FED_GENPROK_ORGANIZATION_28
61;Прокуратура Тогульского района Алтайского края;Алтайский край;8 (38597) 22376;togul@22.mailop.ru;659450, Алтайский край, Тогульский р-н, с.Тогул, ул. Октябрьская, 13;1;382809540;FED_GENPROK_ORGANIZATION_61
23;Прокуратура Ельцовского района Алтайского края;Алтайский край;8 (38593) 22376;eltcovka@22.mailop.ru;659470, Алтайский край, Ельцовский р-н, с.Ельцовка, ул. имени Рыжакова, 22/3;1;382735349;FED_GENPROK_ORGANIZATION_23
33;Прокуратура Красногорского района Алтайского края;Алтайский край;8-385-35-22-3-76;krasngorskiy@22.mailop.ru;659500, Алтайский край, Красногорский р-н, с.Красногорское, ул. Юбилейная, 28;1;382740064;FED_GENPROK_ORGANIZATION_33
58;Прокуратура Солтонского района Алтайского края;Алтайский край;8(38533) 21120;solton@22.mailop.ru;659520, Алтайский край, Солтонский р-н, с.Солтон, ул. Молодежная, 45;1;382808914;FED_GENPROK_ORGANIZATION_58
56;Прокуратура Советского района Алтайского края;Алтайский край;8 (38598) 22376;sovetskiy@22.mailop.ru;659540, Алтайский край, Советский р-н, с.Советское, ул. Ленина, 58;1;382808698;FED_GENPROK_ORGANIZATION_56
14;Прокуратура Быстро-Истокского района Алтайского края;Алтайский край;8 (38571) 22376;istok@22.mailop.ru;659560, Алтайский край, Быстроистокский р-н, с. Быстрый Исток, ул. Ленина, 48;1;382732338;FED_GENPROK_ORGANIZATION_14
68;Прокуратура Усть-Пристанского района Алтайского края;Алтайский край;8 (38554) 22276;ustpristan@22.mailop.ru;659580, Алтайский край, Усть-Пристанский р-н, с.Усть-Чарышская Пристань, ул. 1 Мая, 16;1;382812837;FED_GENPROK_ORGANIZATION_68
55;Прокуратура Смоленского района Алтайского края;Алтайский край;8 (38536) 22069;smolenskiy@22.mailop.ru;659600, Алтайский край, Смоленский р-н, с.Смоленское, ул. Школьная, 44;1;382808666;FED_GENPROK_ORGANIZATION_55
10;Прокуратура Алтайского района Алтайского края;Алтайский край;8 (38537) 22176;altaiskiy@22.mailop.ru;659650, Алтайский край, Алтайский р-н, с. Алтайское, ул. Советская, 150;1;382730726;FED_GENPROK_ORGANIZATION_10
49;Прокуратура Петропавловского района Алтайского края;Алтайский край;8 (38573) 22376;petropavl@22.mailop.ru;659660, Алтайский край, Петропавловский р-н, с.Петропавловское, ул. Ленина, 97;1;382751632;FED_GENPROK_ORGANIZATION_49
57;Прокуратура Солонешенского района Алтайского края;Алтайский край;8 (38594) 22921;soloneshenskiy@22.mailop.ru;659690, Алтайский край, Солонешенский р-н, с.Солонешное, ул. П.Сухова, 29;1;382808881;FED_GENPROK_ORGANIZATION_57
50;Прокуратура Поспелихинского района Алтайского края;Алтайский край;8 (38556) 22176;pospeliha@22.mailop.ru;659700, Алтайский край, Пспелихинский р-н, с.Поспелиха, пер. Школьный, 11;1;382751814;FED_GENPROK_ORGANIZATION_50
44;Прокуратура Новичихинского района Алтайского края;Алтайский край;8(38555) 23276;novichiha@22.mailop.ru;659730, Алтайский край, Новичихинский р-н, с.Новичиха, ул. Первомайская, 66;1;382750567;FED_GENPROK_ORGANIZATION_44
52;Прокуратура Родинского района Алтайского края;Алтайский край;8 (38563) 22376;rodino@22.mailop.ru;659780, Алтайский край, Родинский р-н, с.Родино, ул. Мелиораторов, 5;1;382752030;FED_GENPROK_ORGANIZATION_52
32;Прокуратура Косихинского района Алтайского края;Алтайский край;8 (3853) 22176;kosiha@22.mailop.ru;659820, Алтайский край, Косихинский р-н, с.Косиха, ул. Комсомольская, 1;1;382740015;FED_GENPROK_ORGANIZATION_32
64;Прокуратура Троицкого района Алтайского края;Алтайский край;8 (38534) 22376;troick@22.mailop.ru;659840, Алтайский край, Троицкий р-н, с.Троицкое, ул. 60 лет Октября, 45;1;382809863;FED_GENPROK_ORGANIZATION_64
17;Прокуратура г. Белокурихи Алтайского края;Алтайский край;8 (38577) 22075;belokuriha@22.mailop.ru;659900, Алтайский край, г.Белокуриха, ул. Рябиновая, 26;1;382732922;FED_GENPROK_ORGANIZATION_17
81;Прокуратура Амурской области;Амурская область;8 (4162) 77-50-05;prm@28.mailop.ru;675000, Амурская область, Благовещенск , Пионерская, 37;10;359973147;FED_GENPROK_ORGANIZATION_81
80;Благовещенская транспортная прокуратура Восточно-Сибирской транспортной прокуратуры;Амурская область;8 (4162) 51-80-23;vstp07@vstproc.ru;675000, Амурская область, г. Благовещенск, ул.Трудовая, д. 44;10;382536892;FED_GENPROK_ORGANIZATION_80
87;Прокуратура г. Благовещенска Амурской области;Амурская область;8 (4162) 22-29-86;blg@28.mailop.ru;675002, Амурская область, г. Благовещенск, ул. Ленина, д. 45/1;10;382828163;FED_GENPROK_ORGANIZATION_87
79;Благовещенская межрайонная природоохранная прокуратура Амурской бассейновой природоохранной прокуратуры;Амурская область;8 (4162) 52-52-44;blmpp@abp-proc.ru;675007, Амурская область, г. Благовещенск, ул. Артиллерийская, д.24;10;382472823;FED_GENPROK_ORGANIZATION_79
84;Прокуратура Благовещенского района Амурской области;Амурская область;8 (4162) 77-12-55;blr@28.mailop.ru;675007, Амурская область, г. Благовещенск, ул. Артиллерийская, д. 24;10;382826550;FED_GENPROK_ORGANIZATION_84
78;Амурская прокуратура по надзору за соблюдением законов в исправительных учреждениях Амурской области;Амурская область;8 (4162) 77-12-88;itu@28.mailop.ru;675007, Амурская область, г. Благовещенск, ул. Артиллерийская, д. 24;10;382819292;FED_GENPROK_ORGANIZATION_78
106;Сковородинская транспортная прокуратура Восточно-Сибирской транспортной прокуратуры;Амурская область;8 (41654) 22-33-9;vstp17@vstproc.ru;676014, Амурская области, г. Сковородино, ул. Красноармейская, д. 5;10;382537009;FED_GENPROK_ORGANIZATION_106
101;Прокуратура Сковородинского района Амурской области;Амурская область;8 (41654) 40-2-15;skv@28.mailop.ru;676014, Амурская область, г. Сковородино, ул. Красноармейская, д. 5;10;382867777;FED_GENPROK_ORGANIZATION_101
94;Прокуратура Магдагачинского района Амурской области;Амурская область;8 (41653) 97-7-01;mgd@28.mailop.ru;676124, Амурская область, пгт. Магдагачи, ул. Ленина, д. 11;10;382845954;FED_GENPROK_ORGANIZATION_94
90;Прокуратура Зейского района Амурской области;Амурская область;8 (41658) 2-41-35;zey@28.mailop.ru;676246, Амурская область, г. Зея, пер. Пионерский, д. 1;10;382829031;FED_GENPROK_ORGANIZATION_90
108;Тындинская транспортная прокуратура Дальневосточной транспортной прокуратуры;Амурская область;8 (4165) 64-20-45;tynda@dvtp.ru;676282, Амурская область, г. Тында, ул. Красная Пресня, д. 57;10;382586520;FED_GENPROK_ORGANIZATION_108
107;Тындинская городская прокуратура Амурской области;Амурская область;8 (41656) 4-65-50;tnd@28.mailop.ru;676282, Амурская область, г. Тында, ул. Мохортова, д. 1;10;382868247;FED_GENPROK_ORGANIZATION_107
103;Прокуратура Шимановского района Амурской области;Амурская область;8 (41651) 2-03-30;shm@28.mailop.ru;676306, Амурская область, г. Шимановск, ул. Ворошилова, д. 38;10;382868049;FED_GENPROK_ORGANIZATION_103
100;Прокуратура Серышевского района Амурской области;Амурская область;8 (41642) 21-7-87;ser@28.mailop.ru;676355, Амурская область, пгт. Серышево, ул. Пионерская, 29;10;382867642;FED_GENPROK_ORGANIZATION_100
105;Свободненская транспортная прокуратура Восточно-Сибирской транспортной прокуратуры;Амурская область;8 (416-43) 5-07-00;vstp16@vstproc.ru;676455, Амурская область, г. Свободный, ул.Дзержинского, 47;10;382536973;FED_GENPROK_ORGANIZATION_105
104;Свободненская городская прокуратура Амурской области;Амурская область;8 (41-643) 5-92-46;svb@28.mailop.ru;676456, Амурская область, г. Свободный, ул. Почтамтская, д. 95;10;382868183;FED_GENPROK_ORGANIZATION_104
93;Прокуратура космодрома "Восточный" Амурской области;Амурская область;8 (41643) 91-5-40;ksm@28.mailop.ru;676470, Амурская область, г. Циолковский, ул. Маршала Неделина, д. 13А;10;382844529;FED_GENPROK_ORGANIZATION_93
95;Прокуратура Мазановского района Амурской области;Амурская область;8 (41644) 21-6-80;mzn@28.mailop.ru;676530, Амурская область, с. Новокиевский Увал, ул. Советская, д. 39;10;382866502;FED_GENPROK_ORGANIZATION_95
99;Прокуратура Селемджинского района Амурской области;Амурская область;8 (41646) 21-2-39;sel@28.mailop.ru;676560, Амурская область, п. Экимчан, ул. Комсомольская, д. 16;10;382867589;FED_GENPROK_ORGANIZATION_99
98;Прокуратура Ромненского района Амурской области;Амурская область;8 (41645) 91-3-79;rmn@28.mailop.ru;676620, Амурская область, с. Ромны, ул. Гагарина, д. 9;10;382867122;FED_GENPROK_ORGANIZATION_98
97;Прокуратура Октябрьского района Амурской области;Амурская область;8 (41652) 22-4-65;okt@28.mailop.ru;676630, Амурская область, с. Екатеринославка, ул. Комсомольская, д. 52;10;382866973;FED_GENPROK_ORGANIZATION_97
96;Прокуратура Михайловского района Амурской области;Амурская область;8 (41637) 4-14-12;mhl@28.mailop.ru;676680, Амурская область, с. Поярково, ул. Ленина, д. 29;10;382866783;FED_GENPROK_ORGANIZATION_96
85;Прокуратура Бурейского района Амурской области;Амурская область;8 (41634) 22-3-58;bur@28.mailop.ru;676720, Амурская область, п. Новобурейский, ул. Горького, д. 8;10;382826891;FED_GENPROK_ORGANIZATION_85
82;Прокуратура Архаринского района Амурской области;Амурская область;8 (41648) 21-4-60;arh@28.mailop.ru;676740, Амурская область,  Архара пгт., Победы ул., 45 ;10;382826059;FED_GENPROK_ORGANIZATION_82
88;Прокуратура г. Райчихинска Амурской области;Амурская область;8 (41647) 2-03-91;rch@28.mailop.ru;676770, Амурская область, г. Райчихинск, ул. Пионерская, д. 15;10;382828262;FED_GENPROK_ORGANIZATION_88
83;Прокуратура Белогорского района Амурской области;Амурская область;8 (41641) 3-51-57;ber@28.mailop.ru;676850, Амурская область, г. Белогорск, ул. Кирова, д. 95;10;382826232;FED_GENPROK_ORGANIZATION_83
86;Прокуратура г. Белогорска Амурской области;Амурская область;8 (41641) 3-51-63;bel@28.mailop.ru;676850, Амурская область, г. Белогорск, ул. Кирова, д. 95;10;382827186;FED_GENPROK_ORGANIZATION_86
89;Прокуратура Завитинского района Амурской области;Амурская область;8 (41636) 22-2-44;zav@28.mailop.ru;676870, Амурская область, г. Завитинск, ул. Комсомольская, д. 47;10;382828694;FED_GENPROK_ORGANIZATION_89
91;Прокуратура Ивановского района Амурской области;Амурская область;8 (41649) 51-6-00;ivn@28.mailop.ru;676930, Амурская область, с. Ивановка, ул. Партизанская, д. 67;10;382829892;FED_GENPROK_ORGANIZATION_91
102;Прокуратура Тамбовского района Амурской области;Амурская область;8 (41638) 21-6-55;tmb@28.mailop.ru;676950, Амурская область, с. Тамбовка, ул. Первомайская, д. 6 а;10;382867973;FED_GENPROK_ORGANIZATION_102
92;Прокуратура Константиновского района Амурской области;Амурская область;8 (41639) 91-1-00;kst@28.mailop.ru;676980, Амурская область,  Константиновка с., Ленина ул., 98;10;382830291;FED_GENPROK_ORGANIZATION_92
112;Архангельская транспортная прокуратура Северо-Западной транспортной прокуратуры;Архангельская область;8 (8182) 63-33-30;atp@sztproc.ru;163000, Архангельская обл., г. Архангельск, ул. Розы Люксембург, д.5, к.1;11;388754470;FED_GENPROK_ORGANIZATION_112
118;Прокуратура Архангельской области;Архангельская область;8 (818-2) 41-02-04;obl@29.mailop.ru;163002, Архангельская область, Архангельск , Новгородский проспект, 15 ;11;359973779;FED_GENPROK_ORGANIZATION_118
111;Архангельская прокуратура по надзору за исполнением законов на особо режимных объектах Архангельской области;Архангельская область;8 (818-45) 6-18-40;arhiu@29.mailop.ru;163061, г. Архангельск, пл. Ленина, д. 4, этаж 13;11;382895802;FED_GENPROK_ORGANIZATION_111
117;Приморская межрайонная прокуратура Архангельской области;Архангельская область;8 (818-2) 63-39-71;primorsky@29.mailop.ru;163061, г. Архангельск, ул. Садовая, д. 11;11;382896890;FED_GENPROK_ORGANIZATION_117
123;Прокуратура г. Архангельска Архангельской области;Архангельская область;8 (818-2) 63-38-86;arkhangelsk.city@29.mailop.ru;163061, г. Архангельск, ул. Садовая, д. 11;11;382899893;FED_GENPROK_ORGANIZATION_123
109;Архангельская межрайонная природоохранная прокуратура Архангельской области;Архангельская область;8 (818-2) 63-39-85;arhprirod@29.mailop.ru;163069, г. Архангельск, ул. Садовая, д. 11;11;382895711;FED_GENPROK_ORGANIZATION_109
129;Прокуратура Коношского района Архангельской области;Архангельская область;8 (818-58) 2-14-48;konoshsky@29.mailop.ru;164010, пос. Коноша, ул. Советская, д. 15;11;382903768;FED_GENPROK_ORGANIZATION_129
128;Прокуратура Каргопольского района Архангельской области;Архангельская область;8 (818-41) 2-14-26;kargopolsky@29.mailop.ru;164110, г. Каргополь, пр. Октябрьский, д. 26 "А";11;382903713;FED_GENPROK_ORGANIZATION_128
127;Прокуратура ЗАТО г. Мирный Архангельской области;Архангельская область;8 (818-34) 5-03-95;mirny@29.mailop.ru;164170, г. Мирный, ул. Чайковского, д. 3;11;382902034;FED_GENPROK_ORGANIZATION_127
134;Прокуратура Няндомского района Архангельской области;Архангельская область;8 (818-38) 6-21-57;nyandomsky@29.mailop.ru;164200, г. Няндома, ул. Леваневского, д. 52;11;382906681;FED_GENPROK_ORGANIZATION_134
